epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3169.56,1.3639,3.15611,2.33237,1.44786,0.23488,0.28614,0.17988,0.08408,0.07615,0.0885,0.02331,0.008,1.67183,3.49994,2.7651,1.74754,0.0006629,0.0006629,0.0006629
2,3235.37,1.37918,2.90052,2.06304,1.44681,0.33946,0.35398,0.26456,0.1342,0.17324,0.21239,0.08128,0.02895,1.59854,3.20255,2.93369,1.69586,0.0013164,0.0013164,0.0013164
3,3304.32,1.41743,2.83567,2.01277,1.47912,0.36708,0.31052,0.27578,0.14784,0.27542,0.20649,0.15712,0.06896,1.59959,2.8942,3.43903,1.71923,0.00195671,0.00195671,0.00195671
4,3373.92,1.38308,2.79527,1.96135,1.45793,0.34789,0.30826,0.2573,0.13755,0.22975,0.23599,0.14188,0.05887,1.52355,2.84269,2.39482,1.58354,0.0019406,0.0019406,0.0019406
5,3443.37,1.33003,2.71883,1.90361,1.43121,0.39588,0.40118,0.34837,0.19215,0.28918,0.25516,0.17112,0.07989,1.46949,2.55582,2.10617,1.54543,0.0019208,0.0019208,0.0019208
6,3513.08,1.2748,2.67374,1.82601,1.38912,0.4457,0.38053,0.36222,0.20751,0.27842,0.24336,0.14106,0.05565,1.47016,2.76304,2.08732,1.57265,0.001901,0.001901,0.001901
7,3583.06,1.27323,2.66916,1.83782,1.38807,0.40586,0.37463,0.35799,0.18488,0.17996,0.20501,0.09536,0.04569,1.4387,2.67686,2.00394,1.56324,0.0018812,0.0018812,0.0018812
8,8507.19,1.2271,2.62967,1.7916,1.36807,0.3785,0.39972,0.34418,0.20146,0.29393,0.29056,0.16888,0.0767,1.40907,2.48883,2.027,1.53044,0.0018614,0.0018614,0.0018614
9,8570.82,1.21883,2.61892,1.75045,1.35652,0.54199,0.4115,0.43339,0.26608,0.39435,0.29941,0.23749,0.10654,1.3054,2.48999,1.90341,1.4359,0.0018416,0.0018416,0.0018416
10,8634.3,1.19022,2.6027,1.71786,1.34206,0.41674,0.38938,0.3838,0.22896,0.27467,0.25221,0.15149,0.06524,1.2646,2.48394,1.92683,1.42296,0.0018218,0.0018218,0.0018218
11,8698.02,1.18042,2.5806,1.70858,1.32998,0.45011,0.38496,0.35725,0.22287,0.37782,0.32301,0.25829,0.12322,1.27256,2.4109,2.04694,1.4148,0.001802,0.001802,0.001802
12,8761.37,1.16608,2.51837,1.68321,1.32964,0.47901,0.42773,0.41833,0.25362,0.40612,0.34513,0.2846,0.14735,1.31601,2.2784,1.93028,1.50949,0.0017822,0.0017822,0.0017822
13,8829.82,1.14745,2.53156,1.6642,1.31924,0.49226,0.41445,0.43651,0.28036,0.44387,0.32006,0.3026,0.15202,1.24394,2.29629,1.84081,1.38875,0.0017624,0.0017624,0.0017624
14,8987.78,1.14178,2.50512,1.64331,1.30206,0.47675,0.40265,0.40161,0.25053,0.32439,0.27876,0.19441,0.08848,1.26184,2.49233,1.93458,1.41819,0.0017426,0.0017426,0.0017426
15,9050.38,1.1183,2.46554,1.62644,1.29185,0.43509,0.43363,0.41328,0.25396,0.46965,0.32153,0.30167,0.15046,1.25991,2.3418,1.8771,1.41739,0.0017228,0.0017228,0.0017228
16,9112.28,1.10317,2.44028,1.59525,1.28076,0.47511,0.4292,0.43201,0.27663,0.43448,0.35398,0.30699,0.15107,1.19011,2.2324,1.77147,1.3387,0.001703,0.001703,0.001703
17,9174.34,1.12706,2.48385,1.60438,1.30149,0.42539,0.46903,0.43716,0.27759,0.34759,0.38201,0.29831,0.14543,1.22127,2.2962,1.78775,1.36864,0.0016832,0.0016832,0.0016832
18,9235.68,1.09328,2.44768,1.57646,1.27608,0.52088,0.4587,0.46664,0.30113,0.36416,0.34366,0.25524,0.13962,1.1989,2.20958,1.71716,1.36323,0.0016634,0.0016634,0.0016634
19,9297.51,1.06185,2.41488,1.55633,1.26773,0.45106,0.4646,0.44269,0.28504,0.44135,0.31711,0.28733,0.15242,1.20286,2.30439,1.78293,1.36963,0.0016436,0.0016436,0.0016436
20,9359.81,1.08547,2.39903,1.56888,1.27859,0.49931,0.46479,0.47052,0.31029,0.41849,0.36136,0.30521,0.15218,1.15229,2.21395,1.65711,1.33439,0.0016238,0.0016238,0.0016238
21,9420.63,1.03872,2.35214,1.4901,1.25926,0.55081,0.41445,0.47955,0.30773,0.42312,0.34366,0.31585,0.15827,1.17994,2.17676,1.67848,1.33625,0.001604,0.001604,0.001604
22,9482.6,1.07257,2.36581,1.54158,1.27316,0.52333,0.441,0.46974,0.30998,0.49762,0.35693,0.34712,0.1805,1.17472,2.18136,1.72452,1.36983,0.0015842,0.0015842,0.0015842
23,9544.96,1.04399,2.39492,1.50289,1.25793,0.50313,0.46449,0.47938,0.31312,0.35884,0.36651,0.27853,0.14024,1.1574,2.16609,1.64594,1.33122,0.0015644,0.0015644,0.0015644
24,9607.14,1.04013,2.34031,1.50417,1.25088,0.48628,0.4705,0.44967,0.29498,0.42777,0.37818,0.31647,0.16526,1.11008,2.20706,1.78456,1.30115,0.0015446,0.0015446,0.0015446
25,9670.1,1.04563,2.35826,1.52174,1.25044,0.5345,0.41298,0.45977,0.30242,0.50611,0.34956,0.34715,0.19212,1.15896,2.17939,1.66737,1.3349,0.0015248,0.0015248,0.0015248
26,9731.8,1.02119,2.34,1.46342,1.23787,0.52946,0.48673,0.50302,0.33238,0.45188,0.38791,0.35054,0.17149,1.13472,2.15215,1.62786,1.33851,0.001505,0.001505,0.001505
27,9795.22,1.0152,2.30962,1.46903,1.23579,0.52312,0.44985,0.47923,0.31808,0.43159,0.37168,0.32573,0.17274,1.12472,2.20344,1.71235,1.31693,0.0014852,0.0014852,0.0014852
28,9857.09,1.01229,2.34498,1.46108,1.22872,0.5667,0.4115,0.49112,0.32996,0.38196,0.35546,0.30308,0.15601,1.10162,2.17641,1.64289,1.28012,0.0014654,0.0014654,0.0014654
29,9918.29,0.99748,2.2537,1.42157,1.22086,0.53891,0.45133,0.48974,0.32701,0.46333,0.37021,0.34311,0.18024,1.10603,2.1521,1.59355,1.31226,0.0014456,0.0014456,0.0014456
30,9979.95,1.0158,2.25531,1.45716,1.22364,0.5301,0.45423,0.4867,0.32522,0.4696,0.34366,0.33154,0.17218,1.11212,2.14856,1.6122,1.3043,0.0014258,0.0014258,0.0014258
31,10044.6,0.99135,2.28342,1.43735,1.22244,0.49249,0.48673,0.47221,0.31077,0.42194,0.36283,0.30786,0.16317,1.11555,2.1581,1.59907,1.32016,0.001406,0.001406,0.001406
32,10105.9,0.9918,2.28123,1.40987,1.21914,0.54653,0.46574,0.50642,0.33403,0.40243,0.34071,0.2877,0.15655,1.1205,2.22247,1.69534,1.31445,0.0013862,0.0013862,0.0013862
33,10166.4,0.9785,2.24331,1.40302,1.21161,0.51476,0.4941,0.50535,0.3427,0.37028,0.43215,0.32887,0.17897,1.06037,2.08366,1.56099,1.27004,0.0013664,0.0013664,0.0013664
34,10230.1,0.9861,2.22379,1.41281,1.20359,0.51876,0.47697,0.48615,0.316,0.45661,0.37906,0.34148,0.17814,1.08534,2.08794,1.59854,1.27218,0.0013466,0.0013466,0.0013466
35,10293.5,0.97039,2.22432,1.37946,1.20771,0.54053,0.5,0.50934,0.34393,0.44986,0.40118,0.34052,0.17876,1.08841,2.0646,1.57644,1.28227,0.0013268,0.0013268,0.0013268
36,10357.3,0.96309,2.24372,1.38757,1.20178,0.50259,0.43964,0.47256,0.31387,0.46132,0.36431,0.32751,0.17641,1.09527,2.13667,1.64488,1.28792,0.001307,0.001307,0.001307
37,10419.3,0.95007,2.17129,1.35825,1.19597,0.53588,0.47345,0.51321,0.3529,0.49942,0.39142,0.37924,0.20933,1.03886,2.04485,1.53233,1.24787,0.0012872,0.0012872,0.0012872
38,10479.4,0.94954,2.22079,1.35532,1.1826,0.55096,0.49263,0.5183,0.35156,0.45034,0.40265,0.35388,0.19302,1.06348,2.07386,1.51745,1.25213,0.0012674,0.0012674,0.0012674
39,10565.3,0.94788,2.20116,1.3326,1.18221,0.5919,0.5177,0.56929,0.38885,0.58508,0.38053,0.39916,0.21706,1.06571,2.06953,1.45685,1.26418,0.0012476,0.0012476,0.0012476
40,10734.3,0.93976,2.20428,1.31601,1.17733,0.53988,0.47198,0.50987,0.35257,0.44812,0.37906,0.34212,0.18121,1.05532,2.06259,1.56569,1.27215,0.0012278,0.0012278,0.0012278
41,10795.6,0.9256,2.12693,1.32222,1.18136,0.55222,0.50885,0.50932,0.3527,0.48386,0.43215,0.35995,0.18173,1.04279,2.12279,1.50048,1.23673,0.001208,0.001208,0.001208
42,10858.4,0.91761,2.16267,1.30128,1.16989,0.50185,0.5118,0.50186,0.34458,0.48702,0.33923,0.32977,0.17148,1.05121,2.19622,1.54956,1.26161,0.0011882,0.0011882,0.0011882
43,10922.8,0.91599,2.14741,1.29216,1.16528,0.5312,0.54483,0.54219,0.37146,0.45379,0.44481,0.39152,0.2049,1.03545,2.07466,1.48834,1.25454,0.0011684,0.0011684,0.0011684
44,10985.4,0.91935,2.16117,1.2979,1.17032,0.59631,0.46903,0.5291,0.36843,0.52885,0.37415,0.36346,0.19776,1.04312,2.06491,1.51476,1.25223,0.0011486,0.0011486,0.0011486
45,11046,0.93231,2.17826,1.32569,1.18694,0.55659,0.51622,0.53433,0.36638,0.52475,0.39528,0.36741,0.19579,1.04549,2.08736,1.50644,1.2443,0.0011288,0.0011288,0.0011288
46,11120.5,0.92108,2.16506,1.28371,1.1689,0.55012,0.48673,0.53841,0.37269,0.44127,0.39606,0.33697,0.17092,1.03309,2.10153,1.47921,1.24047,0.001109,0.001109,0.001109
47,11180.5,0.91485,2.1312,1.28465,1.15606,0.55339,0.48673,0.51854,0.35919,0.48532,0.40195,0.36992,0.2059,1.01965,2.05525,1.51902,1.23364,0.0010892,0.0010892,0.0010892
48,11240.1,0.88654,2.07123,1.23661,1.15996,0.5947,0.50885,0.54569,0.37861,0.50617,0.4174,0.37221,0.20376,1.01718,2.01964,1.48194,1.22243,0.0010694,0.0010694,0.0010694
49,11310.1,0.89393,2.11492,1.24325,1.14878,0.57988,0.49263,0.53427,0.37499,0.55019,0.38791,0.38652,0.20834,0.99699,2.04444,1.49608,1.22652,0.0010496,0.0010496,0.0010496
50,11437.6,0.89678,2.16558,1.26431,1.16329,0.59057,0.4764,0.53394,0.37608,0.51525,0.39528,0.38098,0.21255,1.01125,2.02949,1.49626,1.23061,0.0010298,0.0010298,0.0010298
51,12127.8,0.87247,2.10275,1.22468,1.14372,0.52295,0.52507,0.51647,0.35883,0.44269,0.41593,0.34206,0.1954,1.0172,2.02181,1.54832,1.22066,0.00101,0.00101,0.00101
52,12194.4,0.90321,2.10472,1.23943,1.14915,0.57301,0.48097,0.5204,0.36358,0.50697,0.39887,0.38491,0.21911,1.02365,2.03417,1.48459,1.24024,0.0009902,0.0009902,0.0009902
53,12256.9,0.89091,2.10918,1.24449,1.15544,0.57654,0.52802,0.55014,0.38875,0.50586,0.4292,0.40961,0.22646,1.01307,2.01959,1.4459,1.25325,0.0009704,0.0009704,0.0009704
54,12320.3,0.87151,2.06084,1.2107,1.13445,0.60247,0.50295,0.5601,0.39424,0.53356,0.44543,0.43277,0.24939,1.00712,1.96311,1.4529,1.23005,0.0009506,0.0009506,0.0009506
55,12386.9,0.88111,2.06415,1.21415,1.14919,0.60859,0.4941,0.55764,0.38444,0.4415,0.35546,0.31765,0.17877,0.99639,2.00427,1.46655,1.21075,0.0009308,0.0009308,0.0009308
56,12537.7,0.87316,2.06351,1.2079,1.13281,0.58483,0.52358,0.56114,0.39393,0.48004,0.42773,0.3805,0.211,1.02164,1.99514,1.44901,1.23257,0.000911,0.000911,0.000911
57,12601.3,0.854,2.03934,1.19156,1.13955,0.61272,0.46165,0.53061,0.37308,0.43911,0.39676,0.33863,0.19116,0.98765,1.96741,1.48454,1.19938,0.0008912,0.0008912,0.0008912
58,12665.3,0.87188,2.02359,1.2022,1.14391,0.59923,0.49853,0.54696,0.38423,0.49846,0.38348,0.36903,0.20123,0.99095,2.03021,1.44794,1.21582,0.0008714,0.0008714,0.0008714
59,12728.4,0.86288,2.03839,1.1961,1.13778,0.51826,0.54425,0.56087,0.39874,0.40898,0.46903,0.38427,0.21287,0.99316,1.97222,1.44175,1.21574,0.0008516,0.0008516,0.0008516
60,12793.1,0.86836,2.03289,1.19996,1.14147,0.60909,0.5059,0.54539,0.37558,0.52175,0.39381,0.38139,0.21115,1.02122,1.97299,1.46896,1.23538,0.0008318,0.0008318,0.0008318
61,12869.8,0.85383,2.0428,1.16012,1.12638,0.56734,0.5118,0.5453,0.38681,0.5101,0.4233,0.37934,0.21042,0.98091,1.9988,1.44955,1.21186,0.000812,0.000812,0.000812
62,12977.6,0.86163,2.02553,1.17106,1.13061,0.56328,0.55162,0.55417,0.3908,0.4673,0.40413,0.34783,0.20456,0.95836,2.00845,1.41155,1.19771,0.0007922,0.0007922,0.0007922
63,13050.4,0.85069,1.99782,1.1489,1.12691,0.59369,0.5354,0.56442,0.40102,0.50576,0.40413,0.38095,0.22089,0.98733,1.96042,1.39356,1.2123,0.0007724,0.0007724,0.0007724
64,13114.2,0.8425,1.97135,1.15648,1.12872,0.60982,0.4646,0.54387,0.3854,0.50047,0.38201,0.37014,0.20511,0.99631,2.01796,1.46195,1.21967,0.0007526,0.0007526,0.0007526
65,13177.3,0.83832,2.01656,1.1612,1.12431,0.56951,0.49558,0.54722,0.39627,0.48269,0.4174,0.40535,0.22977,0.99606,2.01247,1.4477,1.23215,0.0007328,0.0007328,0.0007328
